value,predicted_log_PGA
6.61,-0.552371
10.698367346938776,-0.540439
14.786734693877552,-0.5289282
18.875102040816326,-0.51753974
22.9634693877551,-0.50605166
27.051836734693875,-0.49398437
31.140204081632653,-0.480856
35.22857142857143,-0.46656075
39.3169387755102,-0.45121104
43.40530612244898,-0.43492538
47.49367346938775,-0.41774902
51.582040816326526,-0.39987832
55.67040816326531,-0.38158154
59.75877551020408,-0.36330146
63.847142857142856,-0.3452367
67.93551020408164,-0.32736024
72.0238775510204,-0.30952322
76.11224489795919,-0.29159364
80.20061224489795,-0.27373037
84.28897959183674,-0.25592598
88.3773469387755,-0.23833437
92.46571428571428,-0.22102596
96.55408163265305,-0.20408018
100.64244897959183,-0.18750753
104.73081632653061,-0.17137246
108.81918367346938,-0.155698
112.90755102040816,-0.14055172
116.99591836734693,-0.12583439
121.08428571428571,-0.111441165
125.17265306122448,-0.09740903
129.26102040816326,-0.08366048
133.34938775510204,-0.07001858
137.43775510204082,-0.056603637
141.5261224489796,-0.04332671
145.6144897959184,-0.030218761
149.70285714285714,-0.01729422
153.79122448979592,-0.004552796
157.8795918367347,0.007890847
161.96795918367349,0.02008986
166.05632653061224,0.03213284
170.14469387755102,0.044054363
174.2330612244898,0.05586387
178.32142857142858,0.06764248
182.40979591836737,0.07948657
186.49816326530612,0.091451935
190.5865306122449,0.103515305
194.67489795918368,0.11575979
198.76326530612246,0.12819092
202.85163265306124,0.14072444
206.94,0.15328214
