Model,Grouped CV RMSE,Grouped CV MAE,Grouped CV R2
PyTorch MLP,0.21279628963746497,0.1776511237025261,0.8015428066253663
Elastic Net,0.24735241389416798,0.20795495147906612,0.7316661801602148
Physical Elastic Net,0.2998783280341516,0.2353098175005978,0.6021326473429607
LightGBM,0.31694362044547586,0.23850086171772994,0.5578653608617541
