value,predicted_log_PGA
5.1,-0.57968414
5.130612244897959,-0.5634735
5.161224489795918,-0.54710424
5.191836734693878,-0.5306778
5.222448979591836,-0.5142718
5.253061224489795,-0.4980331
5.283673469387755,-0.48207617
5.314285714285714,-0.4664773
5.344897959183673,-0.4514613
5.375510204081632,-0.43745142
5.406122448979591,-0.42422485
5.4367346938775505,-0.41160068
5.46734693877551,-0.3994903
5.497959183673469,-0.38785186
5.5285714285714285,-0.3765593
5.559183673469388,-0.36521593
5.589795918367346,-0.35369295
5.620408163265306,-0.34186232
5.651020408163265,-0.3294466
5.681632653061224,-0.31625915
5.7122448979591836,-0.30225062
5.742857142857142,-0.2874204
5.773469387755101,-0.2720177
5.804081632653061,-0.25614986
5.83469387755102,-0.24017683
5.865306122448979,-0.22434229
5.895918367346939,-0.20864654
5.926530612244898,-0.19299719
5.957142857142856,-0.17765574
5.987755102040816,-0.16251999
6.018367346938775,-0.14759907
6.048979591836734,-0.13293797
6.079591836734694,-0.11850911
6.110204081632652,-0.10440622
6.1408163265306115,-0.090485714
6.171428571428571,-0.07668381
6.20204081632653,-0.06287004
6.2326530612244895,-0.048835218
6.263265306122449,-0.034553856
6.293877551020408,-0.020578949
6.3244897959183675,-0.007218985
6.355102040816326,0.0052239783
6.385714285714285,0.016410915
6.416326530612245,0.026781933
6.446938775510204,0.036205404
6.477551020408162,0.044244677
6.508163265306122,0.05043478
6.538775510204081,0.054843348
6.56938775510204,0.057283714
6.6,0.057771113
