value,predicted_log_PGA
6.625864747442854,-0.17253686
19.025260049322526,-0.19106281
31.424655351202194,-0.20999555
43.82405065308186,-0.2293742
56.223445954961534,-0.24897009
68.62284125684121,-0.2682937
81.02223655872086,-0.2872455
93.42163186060054,-0.30553213
105.82102716248022,-0.3231715
118.22042246435987,-0.34038284
130.61981776623955,-0.35767546
143.01921306811923,-0.37554988
155.41860836999888,-0.39416987
167.81800367187856,-0.4128938
180.21739897375824,-0.4307082
192.6167942756379,-0.44760704
205.01618957751757,-0.4635207
217.41558487939724,-0.4786288
229.8149801812769,-0.49275
242.21437548315657,-0.506267
254.61377078503625,-0.51989025
267.01316608691593,-0.5344341
279.4125613887956,-0.5503943
291.81195669067523,-0.56738466
304.2113519925549,-0.5853074
316.6107472944346,-0.6040915
329.01014259631427,-0.62344736
341.40953789819395,-0.6436145
353.8089332000736,-0.6645055
366.20832850195325,-0.6860442
378.6077238038329,-0.70832276
391.0071191057126,-0.73141533
403.4065144075923,-0.7553829
415.80590970947196,-0.779828
428.20530501135164,-0.8041528
440.6047003132313,-0.82779837
453.00409561511094,-0.8504633
465.4034909169906,-0.87219495
477.8028862188703,-0.8930799
490.20228152075,-0.9134849
502.60167682262966,-0.9337678
515.0010721245094,-0.9541294
527.400467426389,-0.9747285
539.7998627282686,-0.99549913
552.1992580301484,-1.0163642
564.598653332028,-1.0374246
576.9980486339076,-1.058829
589.3974439357874,-1.0806737
601.796839237667,-1.1030635
614.1962345395467,-1.1260291
