value,predicted_log_PGA
180.0,-0.65206105
194.69387755102042,-0.6427941
209.3877551020408,-0.6336079
224.08163265306123,-0.6246032
238.77551020408163,-0.6158511
253.46938775510205,-0.6073757
268.16326530612247,-0.5991477
282.8571428571429,-0.5909777
297.55102040816325,-0.58287495
312.2448979591837,-0.57513976
326.9387755102041,-0.5677394
341.63265306122446,-0.5604807
356.32653061224494,-0.55323416
371.0204081632653,-0.54600966
385.7142857142857,-0.53895694
400.40816326530614,-0.53179365
415.1020408163265,-0.5242857
429.795918367347,-0.51658916
444.48979591836735,-0.5087703
459.18367346938777,-0.5007523
473.8775510204082,-0.49265343
488.57142857142856,-0.4845838
503.265306122449,-0.4764582
517.9591836734694,-0.46836683
532.6530612244899,-0.4603835
547.3469387755102,-0.45248798
562.0408163265306,-0.44457403
576.7346938775511,-0.43649453
591.4285714285714,-0.42792606
606.1224489795918,-0.4186748
620.8163265306123,-0.40888065
635.5102040816327,-0.3986636
650.204081632653,-0.38824484
664.8979591836735,-0.37768048
679.591836734694,-0.36717537
694.2857142857143,-0.35680962
708.9795918367347,-0.34663802
723.6734693877551,-0.33682337
738.3673469387755,-0.32752696
753.0612244897959,-0.31882387
767.7551020408164,-0.31082794
782.4489795918367,-0.30353597
797.1428571428571,-0.29684135
811.8367346938776,-0.29053912
826.530612244898,-0.28460896
841.2244897959184,-0.27900892
855.9183673469388,-0.27375665
870.6122448979592,-0.26883653
885.3061224489796,-0.26428038
900.0,-0.26002866
